title, torneo, fecha, local, local_es, visitante, visitante_es, canal1, canal2
Amistoso Internacional Colombia vs. Perú,amistoso_internacional,2015-09-9 00:00,Colombia,colombia,Perú,peru,132,1132
Liga Águila Tolima vs. Águilas Doradas,liga_aguila,2015-09-9 21:00,Tolima,tolima,Águilas Doradas,aguilas_doradas,633,1633
Liga Águila Uniautónoma vs. Santa Fe,liga_aguila,2015-09-9 23:00,Uniautónoma,uniautonoma,Santa Fe,santa_fe,633,1633
Liga Águila Cortuluá vs. Medellín,liga_aguila,2015-09-9 23:00,Cortuluá,cortulua,Medellín,medellin,633,1633
Liga Águila Alianza Petrolera vs. Cúcuta,liga_aguila,2015-09-10 01:00,Alianza Petrolera,alianza_petrolera,Cúcuta,cucuta,633,1633
Liga Águila Millonarios vs. Junior,liga_aguila,2015-09-10 01:00,Millonarios,millonarios,Junior,junior,633,1633
Liga Águila Jaguáres vs. Envigado,liga_aguila,2015-09-10 21:00,Jaguáres,jaguares,Envigado,envigado,633,1633
Liga Águila Equidad vs. Boyacá Chicó,liga_aguila,2015-09-10 23:00,Equidad,equidad,Boyacá Chicó,boyaca_chico,633,1633
Liga Águila Once Caldas vs. Huila,liga_aguila,2015-09-10 23:00,Once Caldas,once_caldas,Huila,huila,633,1633
Liga Águila Nacional vs. Cali,liga_aguila,2015-09-11 01:00,Nacional,nacional,Cali,cali,633,1633
Liga BBVA Levante vs. Sevilla,liga_bbva,2015-09-11 18:30,Levante,levante,Sevilla,sevilla,626,1626
Liga BBVA Espanyol vs. Real Madrid,liga_bbva,2015-09-12 14:00,Espanyol,espanyol,Real Madrid,real_madrid,610,1610
Liga BBVA Sporting vs. Valencia,liga_bbva,2015-09-12 16:00,Sporting,sporting,Valencia,valencia,610,1610
Liga BBVA Atlético de Madrid vs. Barcelona,liga_bbva,2015-09-12 18:30,Atlético de Madrid,atlético_de_madrid,Barcelona,barcelona,,
Liga BBVA Betis vs. Real Sociedad,liga_bbva,2015-09-12 20:00,Betis,betis,Real Sociedad,real_sociedad,610,1610
Liga BBVA Granada vs. Villarreal,liga_bbva,2015-09-13 10:00,Granada,granada,Villarreal,villarreal,610,1610
Liga BBVA Athletic de Bilbao vs. Getafe,liga_bbva,2015-09-13 14:00,Athletic de Bilbao,athletic_de_bilbao,Getafe,getafe,,
Liga BBVA Celta de Vigo vs. Las Palmas,liga_bbva,2015-09-13 16:00,Celta de Vigo,celta_de_vigo,Las Palmas,las_palmas,626,1626
Liga BBVA Málaga vs. Eibar,liga_bbva,2015-09-13 18:30,Málaga,malaga,Eibar,eibar,610,1610
Liga BBVA Rayo Vallecano vs. Deportivo La Coruña,liga_bbva,2015-09-14 18:30,Rayo Vallecano,rayo_vallecano,Deportivo La Coruña,deportivo_la_coruña,,
Premier League Everton vs. Chelsea,premier_league,2015-09-12 12:00,Everton,everton,Chelsea,chelsea,,
Premier League Arsenal vs. Stoke City,premier_league,2015-09-12 14:00,Arsenal,arsenal,Stoke City,stoke_city,613,1613
Premier League Watford vs. Swansea City,premier_league,2015-09-12 14:00,Watford,watford,Swansea City,swansea_city,612,1612
Premier League Crystal Palace vs. Manchester City,premier_league,2015-09-12 14:00,Crystal Palace,crystal_palace,Manchester City,manchester_city,625,1625
Premier League Manchester United vs. Liverpool,premier_league,2015-09-12 16:30,Manchester United,manchester_united,Liverpool,liverpool,613,1613
Premier League West Brom vs. Southampton,premier_league,2015-09-12 18:30,West Brom,west_brom,Southampton,southampton,613,1613
Premier League Norwich City vs. Bournemouth,premier_league,2015-09-12 18:30,Norwich City,norwich_city,Bournemouth,bournemouth,613,1613
Premier League Sunderland vs. Tottenham,premier_league,2015-09-13 12:30,Sunderland,sunderland,Tottenham,tottenham,613,1613
Premier League Leicester City vs. Aston Villa,premier_league,2015-09-13 15:00,Leicester City,leicester_city,Aston Villa,aston_villa,613,1613
Premier League West Ham United vs. New Castle,premier_league,2015-09-14 19:00,West Ham United,west_ham_united,New Castle,new_castle,613,1613
Ligue I Francia PSG vs. Bordeaux,francia,2015-09-11 18:30,PSG,psg,Bordeaux,bordeaux,625,1625
